date,hour,energy_kWh
2015-07-06,16,0.755
2015-07-06,17,0.991
2015-07-06,18,1.016
2015-07-06,19,1.108
2015-07-06,20,1.139
2015-07-06,21,2.674
2015-07-06,22,1.129
2015-07-06,23,1.64
2015-07-07,0,1.379
2015-07-07,1,0.721
2015-07-07,2,0.726
2015-07-07,3,0.706
2015-07-07,4,0.721
2015-07-07,5,0.701
2015-07-07,6,0.784
2015-07-07,7,1.332
2015-07-07,8,0.827
2015-07-07,9,0.965
2015-07-07,10,0.699
2015-07-07,11,0.782
2015-07-07,12,0.843
2015-07-07,13,0.787
2015-07-07,14,0.859
2015-07-07,15,0.752
2015-07-07,16,1.641
2015-07-07,17,3.363
2015-07-07,18,3.709
2015-07-07,19,3.21
2015-07-07,20,1.135
2015-07-07,21,0.987
2015-07-07,22,0.962
2015-07-07,23,0.914
2015-07-08,0,0.786
2015-07-08,1,0.706
2015-07-08,2,0.718
2015-07-08,3,0.723
2015-07-08,4,0.71
2015-07-08,5,0.716
2015-07-08,6,0.792
2015-07-08,7,1.121
2015-07-08,8,0.826
2015-07-08,9,0.9
2015-07-08,10,0.827
2015-07-08,11,0.786
2015-07-08,12,0.801
2015-07-08,13,0.735
2015-07-08,14,0.756
2015-07-08,15,0.759
2015-07-08,16,1.002
2015-07-08,17,2.962
2015-07-08,18,4.249
2015-07-08,19,3.649
2015-07-08,20,3.897
2015-07-08,21,3.575
2015-07-08,22,1.167
2015-07-08,23,1.134
2015-07-09,0,0.752
2015-07-09,1,0.736
2015-07-09,2,0.834
2015-07-09,3,0.722
2015-07-09,4,0.736
2015-07-09,5,0.706
2015-07-09,6,0.794
2015-07-09,7,1.053
2015-07-09,8,0.804
2015-07-09,9,0.781
2015-07-09,10,0.944
2015-07-09,11,0.802
2015-07-09,12,0.794
2015-07-09,13,0.943
2015-07-09,14,2.21
2015-07-09,15,2.204
2015-07-09,16,2.788
2015-07-09,17,2.694
2015-07-09,18,0.966
2015-07-09,19,1.003
2015-07-09,20,1.263
2015-07-09,21,2.354
2015-07-09,22,2.354
2015-07-09,23,2.631
2015-07-10,0,0.91
2015-07-10,2,0.719
2015-07-10,3,0.687
2015-07-10,4,0.703
2015-07-10,5,0.71
2015-07-10,6,0.788
2015-07-10,7,1.063
2015-07-10,8,0.807
2015-07-10,9,0.766
2015-07-10,10,0.774
2015-07-10,11,0.79
2015-07-10,12,0.911
2015-07-10,13,0.752
2015-07-10,14,0.714
2015-07-10,15,0.741
2015-07-10,16,1.145
2015-07-10,17,2.086
2015-07-10,18,2.551
2015-07-10,19,1.321
2015-07-10,20,1.466
2015-07-10,21,1.436
2015-07-10,22,1.31
2015-07-10,23,1.317
2015-07-11,0,0.883
2015-07-11,1,0.851
2015-07-11,2,0.868
2015-07-11,3,0.848
2015-07-11,4,0.874
2015-07-11,5,0.861
2015-07-11,6,0.861
2015-07-11,7,0.892
2015-07-11,8,0.848
2015-07-11,9,0.857
2015-07-11,10,1.346
2015-07-11,11,1.517
2015-07-11,12,1.443
2015-07-11,13,1.126
2015-07-11,14,1.338
2015-07-11,15,1.362
2015-07-11,16,3.664
2015-07-11,17,1.704
2015-07-11,18,3.197
2015-07-11,19,2.167
2015-07-11,20,1.435
2015-07-11,21,1.81
2015-07-11,22,1.604
2015-07-11,23,1.436
2015-07-12,0,1.102
2015-07-12,1,0.704
2015-07-12,2,0.702
2015-07-12,3,0.732
2015-07-12,4,0.743
2015-07-12,5,0.672
2015-07-12,6,0.693
2015-07-12,7,0.654
2015-07-12,8,0.75
2015-07-12,9,0.957
2015-07-12,10,1.351
2015-07-12,11,1.075
2015-07-12,12,1.687
2015-07-12,13,1.142
2015-07-12,14,0.871
2015-07-12,15,0.984
2015-07-12,16,1.01
2015-07-12,17,1.919
2015-07-12,18,2.991
2015-07-12,19,1.286
2015-07-12,20,1.063
2015-07-12,21,1.153
2015-07-12,22,1.077
2015-07-12,23,1.022
2015-07-13,0,0.79
2015-07-13,1,0.689
2015-07-13,2,0.66
2015-07-13,3,0.674
2015-07-13,4,0.687
2015-07-13,5,0.674
2015-07-13,6,0.669
2015-07-13,7,0.699
2015-07-13,8,0.846
2015-07-13,9,1.326
2015-07-13,10,1.948
2015-07-13,11,2.35
2015-07-13,12,1.698
2015-07-13,13,1.041
2015-07-13,14,0.813
2015-07-13,15,0.904
2015-07-13,16,1.305
2015-07-13,17,1.999
2015-07-13,18,1.336
2015-07-13,19,1.482
2015-07-13,20,0.995
2015-07-13,21,1.166
2015-07-13,22,1.369
2015-07-13,23,1.243
2015-07-14,0,0.905
2015-07-14,1,0.824
2015-07-14,2,0.803
2015-07-14,3,0.802
2015-07-14,4,0.806
2015-07-14,5,0.879
2015-07-14,6,0.83
2015-07-14,7,1.242
2015-07-14,8,0.883
2015-07-14,9,1.0
2015-07-14,10,0.793
2015-07-14,11,0.863
2015-07-14,12,0.996
2015-07-14,13,0.837
2015-07-14,14,0.758
2015-07-14,15,0.748
2015-07-14,16,0.969
2015-07-14,17,1.03
2015-07-14,18,1.116
2015-07-14,19,1.331
2015-07-14,20,1.312
2015-07-14,21,1.08
2015-07-14,22,1.477
2015-07-14,23,1.718
2015-07-15,0,1.233
2015-07-15,1,0.729
2015-07-15,2,0.709
2015-07-15,3,0.714
2015-07-15,4,0.689
2015-07-15,5,0.706
2015-07-15,6,0.792
2015-07-15,7,1.203
2015-07-15,8,0.844
2015-07-15,9,0.838
2015-07-15,10,0.657
2015-07-15,11,0.651
2015-07-15,12,0.626
2015-07-15,13,0.639
2015-07-15,14,0.624
2015-07-15,15,0.66
2015-07-15,16,1.032
2015-07-15,17,1.115
2015-07-15,18,1.271
2015-07-15,19,0.842
2015-07-15,20,1.059
2015-07-15,21,1.025
2015-07-15,22,1.185
2015-07-15,23,1.118
2015-07-16,0,0.765
2015-07-16,1,0.801
2015-07-16,2,0.829
2015-07-16,3,0.749
2015-07-16,4,0.734
2015-07-16,5,0.744
2015-07-16,6,0.804
2015-07-16,7,1.207
2015-07-16,8,0.833
2015-07-16,9,1.07
2015-07-16,10,0.824
2015-07-16,11,0.932
2015-07-16,12,1.089
2015-07-16,13,0.728
2015-07-16,14,0.742
2015-07-16,15,0.701
2015-07-16,16,0.811
2015-07-16,17,1.338
2015-07-16,18,2.527
2015-07-16,19,2.071
2015-07-16,20,1.783
2015-07-16,21,1.128
2015-07-16,22,1.226
2015-07-16,23,1.359
2015-07-17,0,0.956
2015-07-17,1,0.725
2015-07-17,2,0.697
2015-07-17,3,0.73
2015-07-17,4,0.715
2015-07-17,5,0.823
2015-07-17,6,0.788
2015-07-17,7,1.125
2015-07-17,8,0.88
2015-07-17,9,0.938
2015-07-17,10,0.756
2015-07-17,11,1.043
